Type,Source,Año,Valor
Magazines,Total Magazines,2012,$19370500000
Newspapers,Total Newspapers,2012,$24926500000
Other,Direct Mail,2012,$16257400000
Other,Directories,2012,$6129000000
Other,Out-of-Home,2012,$6516700000
Pure-Play Internet,Ex-Search,2012,$9527000000
Pure-Play Internet,Search,2012,$18858000000
Radio,Total Radio,2012,$16303500000
TV,Local TV,2012,$22329900000
TV,National TV,2012,$38584900000
Magazines,Total Magazines,2013,$18927500000
Newspapers,Total Newspapers,2013,$23503000000
Other,Direct Mail,2013,$16814000000
Other,Directories,2013,$4486000000
Other,Out-of-Home,2013,$6889900000
Pure-Play Internet,Ex-Search,2013,$11604600000
Pure-Play Internet,Search,2013,$21278900000
Radio,Total Radio,2013,$16591300000
TV,Local TV,2013,$23318600000
TV,National TV,2013,$39577100000
Magazines,Total Magazines,2014,$17247000000
Newspapers,Total Newspapers,2014,$21677800000
Other,Direct Mail,2014,$17327400000
Other,Directories,2014,$4707000000
Other,Out-of-Home,2014,$6806000000
Pure-Play Internet,Ex-Search,2014,$13573400000
Pure-Play Internet,Search,2014,$24876600000
Radio,Total Radio,2014,$16165600000
TV,Local TV,2014,$23337500000
TV,National TV,2014,$41064200000
Magazines,Total Magazines,2015,$15841800000
Newspapers,Total Newspapers,2015,$20269200000
Other,Direct Mail,2015,$17479000000
Other,Directories,2015,$4320000000
Other,Out-of-Home,2015,$7282500000
Pure-Play Internet,Ex-Search,2015,$17606300000
Pure-Play Internet,Search,2015,$29233800000
Radio,Total Radio,2015,$16385700000
TV,Local TV,2015,$24069000000
TV,National TV,2015,$41313100000
Magazines,Total Magazines,2016,$14306900000
Newspapers,Total Newspapers,2016,$17802400000
Other,Direct Mail,2016,$16864500000
Other,Directories,2016,$3758000000
Other,Out-of-Home,2016,$7319700000
Pure-Play Internet,Ex-Search,2016,$23809300000
Pure-Play Internet,Search,2016,$33870300000
Radio,Total Radio,2016,$16554800000
TV,Local TV,2016,$24023300000
TV,National TV,2016,$43416800000
Magazines,Total Magazines,2017,$13101300000
Newspapers,Total Newspapers,2017,$16374600000
Other,Direct Mail,2017,$16266000000
Other,Directories,2017,$3342000000
Other,Out-of-Home,2017,$7599100000
Pure-Play Internet,Ex-Search,2017,$33094200000
Pure-Play Internet,Search,2017,$40410100000
Radio,Total Radio,2017,$16712100000
TV,Local TV,2017,$24450500000
TV,National TV,2017,$41835600000
Magazines,Total Magazines,2018,$11805400000
Newspapers,Total Newspapers,2018,$13939500000
Other,Direct Mail,2018,$16097000000
Other,Directories,2018,$2706000000
Other,Out-of-Home,2018,$7714400000
Pure-Play Internet,Ex-Search,2018,$42881300000
Pure-Play Internet,Search,2018,$47610800000
Radio,Total Radio,2018,$15990700000
TV,Local TV,2018,$21845600000
TV,National TV,2018,$42992300000
Magazines,Total Magazines,2019,$10798200000
Newspapers,Total Newspapers,2019,$12346600000
Other,Direct Mail,2019,$15887600000
Other,Directories,2019,$2118100000
Other,Out-of-Home,2019,$8358800000
Pure-Play Internet,Ex-Search,2019,$53566500000
Pure-Play Internet,Search,2019,$54322400000
Radio,Total Radio,2019,$16420500000
TV,Local TV,2019,$22143100000
TV,National TV,2019,$42855800000
Magazines,Total Magazines,2020,$8480000000
Newspapers,Total Newspapers,2020,$8257200000
Other,Direct Mail,2020,$13401000000
Other,Directories,2020,$1321400000
Other,Out-of-Home,2020,$6607600000
Pure-Play Internet,Ex-Search,2020,$52238400000
Pure-Play Internet,Search,2020,$52975500000
Radio,Total Radio,2020,$12085400000
TV,Local TV,2020,$14535500000
TV,National TV,2020,$38024800000
Magazines,Total Magazines,2021,$7089400000
Newspapers,Total Newspapers,2021,$6473200000
Other,Direct Mail,2021,$13074200000
Other,Directories,2021,$874400000
Other,Out-of-Home,2021,$7083800000
Pure-Play Internet,Ex-Search,2021,$58418100000
Pure-Play Internet,Search,2021,$59242400000
Radio,Total Radio,2021,$11179500000
TV,Local TV,2021,$13044100000
TV,National TV,2021,$40138700000
Magazines,Total Magazines,2022,$6186500000
Newspapers,Total Newspapers,2022,$5551800000
Other,Direct Mail,2022,$12730200000
Other,Directories,2022,$621700000
Other,Out-of-Home,2022,$7296300000
Pure-Play Internet,Ex-Search,2022,$65325300000
Pure-Play Internet,Search,2022,$63015900000
Radio,Total Radio,2022,$10957000000
TV,Local TV,2022,$11204300000
TV,National TV,2022,$40227300000
Magazines,Total Magazines,2023,$5223000000
Newspapers,Total Newspapers,2023,$4569300000
Other,Direct Mail,2023,$12353700000
Other,Directories,2023,$353100000
Other,Out-of-Home,2023,$7515200000
Pure-Play Internet,Ex-Search,2023,$71117600000
Pure-Play Internet,Search,2023,$65911300000
Radio,Total Radio,2023,$10711200000
TV,Local TV,2023,$11770200000
TV,National TV,2023,$40285000000
Magazines,Total Magazines,2024,$4196200000
Newspapers,Total Newspapers,2024,$3522900000
Other,Direct Mail,2024,$11943200000
Other,Directories,2024,$67800000
Other,Out-of-Home,2024,$7740700000
Pure-Play Internet,Ex-Search,2024,$77548700000
Pure-Play Internet,Search,2024,$69047000000
Radio,Total Radio,2024,$10440800000
TV,Local TV,2024,$11886600000
TV,National TV,2024,$40310100000
